Ano;Região;UF;Município;Código Município IBGE;CNPJ Município/SEDUC;Nome Escola;Código Escola;Rede Atendimento;Quantidade Alunos;CNPJ Executora;Nome Executora;Programa;Destinação;Valor Custeio;Valor Capital;Valor Total;Data Solicitação
2023;NORTE;AC;MARECHAL THAUMATURGO;1200351;'84306463000176;ESC JOSE DO PATROCINIO;12002712;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;68;'11287845000126;CONSELHO ESCOLAR TRANSPARENCIA E COMPANHEIRISMO;PDDE ESTRUTURA;PDDE Agua 2021;20000;5000;25000;27/10/2023
2023;NORTE;AC;MARECHAL THAUMATURGO;1200351;'84306463000176;ESC JOSE PINTO PEREIRA;12002763;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;91;'11287900000188;CONSELHO ESCOLAR EDUCACAO E CREDIBILIDADE;PDDE ESTRUTURA;PDDE Agua 2021;20000;5000;25000;27/10/2023
2023;NORTE;AC;FEIJO;1200302;'04033254000167;ESC ANTONIO SIMPLICIO DE OLIVEIRA;12004022;ADMINISTRAÇÃO PÚBLICA ESTADUAL;80;'07146299000136;COMITE EXECUTIVO ANTONIO SIMPLICIO DE OLIVEIRA;PDDE ESTRUTURA;PDDE Agua 2021;22400;5600;28000;
2023;NORTE;AC;TARAUACA;1200609;'34693564000179;ESC DR DEMOSTENES RODRIGUES;12005738;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;80;'04466118000160;COMITE EXECUTIVO TAMANDARE;PDDE ESTRUTURA;PDDE Agua 2021;22400;5600;28000;27/10/2023
2023;NORTE;AC;TARAUACA;1200609;'04033254000167;ESC MARECHAL CASTELO BRANCO;12005983;ADMINISTRAÇÃO PÚBLICA ESTADUAL;13;'11396188000155;COMITE EXECUTIVO CONSORCIO ITAMARATY;PDDE ESTRUTURA;PDDE Agua 2021;20000;5000;25000;23/11/2023
2023;NORTE;AC;TARAUACA;1200609;'34693564000179;ESC MANOEL TEIXEIRA;12006009;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;239;'07511836000108;COMITE EXECUTIVO MANOEL TEIXEIRA;PDDE ESTRUTURA;PDDE Agua 2021;20000;5000;25000;22/11/2023
2023;NORTE;AC;TARAUACA;1200609;'34693564000179;ESC MARIA DA GLORIA RODRIGUES;12006068;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;43;'07511832000111;COMITE EXECUTIVO MARIA DA GLORIA RODRIGUES;PDDE ESTRUTURA;PDDE Agua 2021;25600;6400;32000;27/10/2023
2023;NORTE;AC;TARAUACA;1200609;'04033254000167;ESC MARIA DE LOURDES ALBUQUERQUE DOS SANTOS;12006076;ADMINISTRAÇÃO PÚBLICA ESTADUAL;107;'11396164000104;COMITE EXECUTIVO CONSORCIO VITORIA;PDDE ESTRUTURA;PDDE Agua 2021;25600;6400;32000;23/11/2023
2023;NORTE;AC;RIO BRANCO;1200401;'04033254000167;ESC ADOLFO BARBOSA LEITE;12011045;ADMINISTRAÇÃO PÚBLICA ESTADUAL;27;'01191004000167;COMITE EXECUTIVO ADOLFO BARBOSA LEITE;PDDE ESTRUTURA;PDDE Agua 2021;20000;5000;25000;23/11/2023
2023;NORTE;AC;XAPURI;1200708;'04033254000167;ESC EDMUNDO PINTO;12017590;ADMINISTRAÇÃO PÚBLICA ESTADUAL;10;'11451177000120;COMITE EXECUTIVO CONSORCIO EDMUNDO PINTO;PDDE ESTRUTURA;PDDE Agua 2021;20000;5000;25000;23/11/2023
2023;NORTE;AC;XAPURI;1200708;'04033254000167;ESC IVAIR HIGINO;12017760;ADMINISTRAÇÃO PÚBLICA ESTADUAL;9;'11488233000100;COMITE EXECUTIVO CONSORCIO IVAIR HIGINO;PDDE ESTRUTURA;PDDE Agua 2021;22400;5600;28000;23/11/2023
2023;NORTE;AC;XAPURI;1200708;'04033254000167;ESC JOAO EDUARDO;12017841;ADMINISTRAÇÃO PÚBLICA ESTADUAL;31;'11492389000156;COMITE EXECUTIVO CONSORCIO JULIO MARTINS;PDDE ESTRUTURA;PDDE Agua 2021;20000;5000;25000;23/11/2023
2023;NORTE;AC;XAPURI;1200708;'04033254000167;ESC JULIO MARTINS;12017850;ADMINISTRAÇÃO PÚBLICA ESTADUAL;14;'11492389000156;COMITE EXECUTIVO CONSORCIO JULIO MARTINS;PDDE ESTRUTURA;PDDE Agua 2021;20000;5000;25000;23/11/2023
2023;NORTE;AC;XAPURI;1200708;'04033254000167;ESC NOVA ESPERANCA II;12017957;ADMINISTRAÇÃO PÚBLICA ESTADUAL;6;'11492389000156;COMITE EXECUTIVO CONSORCIO JULIO MARTINS;PDDE ESTRUTURA;PDDE Agua 2021;20000;5000;25000;23/11/2023
2023;NORTE;AC;MARECHAL THAUMATURGO;1200351;'84306463000176;ESC FLORIANO PEIXOTO;12018996;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;15;'11298985000108;CONSELHO ESCOLAR EDUCACAO E RESPONSABILIDADE;PDDE ESTRUTURA;PDDE Agua 2021;20000;5000;25000;27/10/2023
2023;NORTE;AC;XAPURI;1200708;'04033254000167;ESC BOA VISTA;12019461;ADMINISTRAÇÃO PÚBLICA ESTADUAL;6;'11492389000156;COMITE EXECUTIVO CONSORCIO JULIO MARTINS;PDDE ESTRUTURA;PDDE Agua 2021;20000;5000;25000;23/11/2023
2023;NORTE;AC;RODRIGUES ALVES;1200427;'84306455000120;ESC FRANCISCO DAS CHAGAS SILVA;12020320;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;61;'41619611000108;COMITE EXECUTIVO CONSORCIO FRANCISCO DAS CHAGAS SILVA;PDDE ESTRUTURA;PDDE Agua 2021;20000;5000;25000;27/10/2023
2023;NORTE;AC;TARAUACA;1200609;'34693564000179;ESC MARIA RITA ALBUQUERQUE SANTOS CATAO;12020435;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;175;'07511919000199;COMITE EXECUTIVO MARIA RITA DOS SANTOS CATAO;PDDE ESTRUTURA;PDDE Agua 2021;22400;5600;28000;22/11/2023
2023;NORTE;AC;RIO BRANCO;1200401;'04033254000167;ESC BOM JARDIM;12021237;ADMINISTRAÇÃO PÚBLICA ESTADUAL;13;'07191683000150;COMITE EXECUTIVO BOM JARDIM;PDDE ESTRUTURA;PDDE Agua 2021;22400;5600;28000;23/11/2023
